Epoch 01 | Loss 2.5211 | Val Acc 0.4370
Epoch 02 | Loss 1.8398 | Val Acc 0.4991
Epoch 03 | Loss 1.6617 | Val Acc 0.5183
Epoch 04 | Loss 1.5866 | Val Acc 0.5284
Epoch 05 | Loss 1.5451 | Val Acc 0.5304
Epoch 06 | Loss 1.5159 | Val Acc 0.5370
Epoch 07 | Loss 1.4947 | Val Acc 0.5389
Epoch 08 | Loss 1.4786 | Val Acc 0.5435
Epoch 09 | Loss 1.4650 | Val Acc 0.5438
Epoch 10 | Loss 1.4535 | Val Acc 0.5439
Epoch 11 | Loss 1.4437 | Val Acc 0.5456
Epoch 12 | Loss 1.4352 | Val Acc 0.5461
Epoch 13 | Loss 1.4264 | Val Acc 0.5495
Epoch 14 | Loss 1.4208 | Val Acc 0.5497
Epoch 15 | Loss 1.4148 | Val Acc 0.5511
Epoch 16 | Loss 1.4090 | Val Acc 0.5524
Epoch 17 | Loss 1.4041 | Val Acc 0.5528
Epoch 18 | Loss 1.3986 | Val Acc 0.5528
Epoch 19 | Loss 1.3948 | Val Acc 0.5530
Epoch 20 | Loss 1.3905 | Val Acc 0.5530
Epoch 21 | Loss 1.3867 | Val Acc 0.5529
Epoch 22 | Loss 1.3838 | Val Acc 0.5555
Epoch 23 | Loss 1.3802 | Val Acc 0.5545
Epoch 24 | Loss 1.3771 | Val Acc 0.5558
Epoch 25 | Loss 1.3738 | Val Acc 0.5529
Epoch 26 | Loss 1.3714 | Val Acc 0.5562
Epoch 27 | Loss 1.3685 | Val Acc 0.5557
Epoch 28 | Loss 1.3659 | Val Acc 0.5547
Epoch 29 | Loss 1.3634 | Val Acc 0.5553
Epoch 30 | Loss 1.3613 | Val Acc 0.5571
Epoch 31 | Loss 1.3595 | Val Acc 0.5566
Epoch 32 | Loss 1.3566 | Val Acc 0.5578
Epoch 33 | Loss 1.3550 | Val Acc 0.5565
Epoch 34 | Loss 1.3529 | Val Acc 0.5573
Epoch 35 | Loss 1.3512 | Val Acc 0.5582
Epoch 36 | Loss 1.3496 | Val Acc 0.5550
Epoch 37 | Loss 1.3481 | Val Acc 0.5572
Epoch 38 | Loss 1.3459 | Val Acc 0.5577
Epoch 39 | Loss 1.3444 | Val Acc 0.5578
Epoch 40 | Loss 1.3429 | Val Acc 0.5576
Epoch 41 | Loss 1.3413 | Val Acc 0.5579
Epoch 42 | Loss 1.3396 | Val Acc 0.5583
Epoch 43 | Loss 1.3386 | Val Acc 0.5576
Epoch 44 | Loss 1.3368 | Val Acc 0.5599
Epoch 45 | Loss 1.3363 | Val Acc 0.5584
Epoch 46 | Loss 1.3350 | Val Acc 0.5567
Epoch 47 | Loss 1.3336 | Val Acc 0.5573
Epoch 48 | Loss 1.3320 | Val Acc 0.5590
Epoch 49 | Loss 1.3309 | Val Acc 0.5593
Epoch 50 | Loss 1.3299 | Val Acc 0.5567
Epoch 51 | Loss 1.3295 | Val Acc 0.5589
Epoch 52 | Loss 1.3278 | Val Acc 0.5590
Epoch 53 | Loss 1.3266 | Val Acc 0.5584
Epoch 54 | Loss 1.3266 | Val Acc 0.5595
Epoch 55 | Loss 1.3250 | Val Acc 0.5593
Epoch 56 | Loss 1.3239 | Val Acc 0.5607
Epoch 57 | Loss 1.3235 | Val Acc 0.5596
Epoch 58 | Loss 1.3219 | Val Acc 0.5585
Epoch 59 | Loss 1.3211 | Val Acc 0.5607
Epoch 60 | Loss 1.3205 | Val Acc 0.5580
Epoch 61 | Loss 1.3200 | Val Acc 0.5567
Epoch 62 | Loss 1.3192 | Val Acc 0.5571
Epoch 63 | Loss 1.3179 | Val Acc 0.5583
Epoch 64 | Loss 1.3176 | Val Acc 0.5582
Epoch 65 | Loss 1.3167 | Val Acc 0.5590
Epoch 66 | Loss 1.3160 | Val Acc 0.5584
Epoch 67 | Loss 1.3153 | Val Acc 0.5583
Epoch 68 | Loss 1.3137 | Val Acc 0.5589
Epoch 69 | Loss 1.3137 | Val Acc 0.5578
Epoch 70 | Loss 1.3129 | Val Acc 0.5607
Epoch 71 | Loss 1.3125 | Val Acc 0.5597
Epoch 72 | Loss 1.3118 | Val Acc 0.5584
Epoch 73 | Loss 1.3114 | Val Acc 0.5569
